"filename", "language", "CSS", "JavaScript", "Vue", "comment", "blank", "total"
"d:\vscode\水果店\forward\System\src\App.vue", "Vue", 0, 0, 12, 0, 5, 17
"d:\vscode\水果店\forward\System\src\components\Favorate.vue", "Vue", 0, 0, 13, 0, 5, 18
"d:\vscode\水果店\forward\System\src\components\Login.vue", "Vue", 0, 0, 148, 6, 29, 183
"d:\vscode\水果店\forward\System\src\components\NavigateUser.vue", "Vue", 0, 0, 110, 6, 31, 147
"d:\vscode\水果店\forward\System\src\components\ShopCar.vue", "Vue", 0, 0, 230, 18, 93, 341
"d:\vscode\水果店\forward\System\src\components\Stock.vue", "Vue", 0, 0, 69, 3, 22, 94
"d:\vscode\水果店\forward\System\src\components\TopNavigate.vue", "Vue", 0, 0, 81, 8, 33, 122
"d:\vscode\水果店\forward\System\src\components\UserBaseInfo.vue", "Vue", 0, 0, 140, 3, 47, 190
"d:\vscode\水果店\forward\System\src\components\UserMsg.vue", "Vue", 0, 0, 64, 0, 28, 92
"d:\vscode\水果店\forward\System\src\components\address.vue", "Vue", 0, 0, 70, 2, 24, 96
"d:\vscode\水果店\forward\System\src\components\clearFix.vue", "Vue", 0, 0, 32, 0, 11, 43
"d:\vscode\水果店\forward\System\src\components\goodsList.vue", "Vue", 0, 0, 198, 4, 55, 257
"d:\vscode\水果店\forward\System\src\components\goodsShow.vue", "Vue", 0, 0, 81, 4, 28, 113
"d:\vscode\水果店\forward\System\src\components\index.vue", "Vue", 0, 0, 35, 0, 14, 49
"d:\vscode\水果店\forward\System\src\components\main.vue", "Vue", 0, 0, 160, 3, 42, 205
"d:\vscode\水果店\forward\System\src\components\orderTable.vue", "Vue", 0, 0, 67, 1, 20, 88
"d:\vscode\水果店\forward\System\src\components\orders.vue", "Vue", 0, 0, 80, 0, 32, 112
"d:\vscode\水果店\forward\System\src\components\root.vue", "Vue", 0, 0, 33, 0, 11, 44
"d:\vscode\水果店\forward\System\src\components\tail.vue", "Vue", 0, 0, 94, 0, 24, 118
"d:\vscode\水果店\forward\System\src\components\userTable.vue", "Vue", 0, 0, 55, 0, 16, 71
"d:\vscode\水果店\forward\System\src\index.css", "CSS", 9, 0, 0, 0, 1, 10
"d:\vscode\水果店\forward\System\src\main.js", "JavaScript", 0, 18, 0, 2, 6, 26
"d:\vscode\水果店\forward\System\src\routers\index.js", "JavaScript", 0, 122, 0, 5, 11, 138
"d:\vscode\水果店\forward\System\src\static\CSS\Login.css", "CSS", 82, 0, 0, 0, 1, 83
"d:\vscode\水果店\forward\System\src\store\global.js", "JavaScript", 0, 30, 0, 0, 12, 42
"d:\vscode\水果店\forward\System\src\store\user.js", "JavaScript", 0, 332, 0, 10, 56, 398
"d:\vscode\水果店\forward\System\src\vite.config.js", "JavaScript", 0, 13, 0, 0, 1, 14
"Total", "-", 91, 515, 1772, 75, 658, 3111